month,day,hour,min,sec,pan[rad],tlt[rad],str_1[rad],str_2[rad],str_3[rad],str_4[rad],drv_1[rad],drv_2[rad],drv_3[rad],drv_4[rad]
1,1,9,35,34.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,34.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0009,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,34.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,34.6000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,34.8000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0009,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,35.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,35.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,35.4000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,35.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,35.8000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,36.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,36.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,36.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0009,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,36.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,36.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,37.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,37.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,37.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,37.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,37.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,38.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0006,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,38.2000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,38.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,38.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,38.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,39.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,39.2000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,39.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,39.6000,0.0517,1.1399,-0.0006,-0.0007,-0.0014,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,39.8000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,40.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,40.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,40.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
